Order_ID,Order_Date,Order_Year,Order_Quarter,Order_Month,Order_YearMonth,Region,State,City,Country,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Revenue,Profit,Margin,Product_Revenue_Rank,City_Revenue_Rank,Region_Revenue_Rank
77727,21/12/2023,2023,2023Q4,12,2023-12,Centre,Nebraska,Lincoln,United States,Clothing & Apparel,Kids Wear,Carter's Onesie,1,356.95,356.95,158.32,0.443535509,90337,85878.5,137264
198811,29/9/2024,2024,2024Q3,9,2024-09,East,Maryland,Annapolis,United States,Home & Furniture,Storage,Storage Rack,2,667.05,1334.1,163.72,0.122719436,41324,38924.5,28517.5
66401,21/9/2024,2024,2024Q3,9,2024-09,Centre,Illinois,Springfield,United States,Clothing & Apparel,Kids Wear,Children's Hoodie,2,51.07,102.14,29.28,0.286665361,131968.5,60034,137264
166159,20/3/2024,2024,2024Q1,3,2024-03,Centre,Illinois,Chicago,United States,Accessories,Small Electronics,Charging Cable,2,200.73,401.46,107.3,0.267274448,178054,61995.5,137264
188688,2/8/2023,2023,2023Q3,8,2023-08,East,Massachusetts,Boston,United States,Home & Furniture,Bedding,Tempur-Pedic Mattress,2,1223.43,2446.86,306.1,0.125099107,2762,18856.5,28517.5
150192,6/1/2024,2024,2024Q1,1,2024-01,South,Alabama,Birmingham,United States,Electronics,Wearables,Fitbit Charge,2,347.98,695.96,70.08,0.100695442,115053.5,178129,181033
163810,21/4/2024,2024,2024Q2,4,2024-04,South,Florida,Jacksonville,United States,Electronics,Tablets,Samsung Galaxy Tab,1,441.66,441.66,51.95,0.117624417,85305.5,185665.5,181033
65430,15/12/2024,2024,2024Q4,12,2024-12,West,Nevada,Reno,United States,Clothing & Apparel,Footwear,Nike Running Shoes,2,386.36,772.72,205.9,0.266461331,102666.5,133351.5,84748.5
181499,23/6/2023,2023,2023Q2,6,2023-06,East,Delaware,Dover,United States,Clothing & Apparel,Women's Wear,Zara Blouse,3,296.33,888.99,373.49,0.42012846,110934.5,41726,28517.5
112317,11/9/2024,2024,2024Q3,9,2024-09,East,Maine,Augusta,United States,Electronics,Wearables,Fitbit Charge,2,483.15,966.3,96.74,0.100113836,115053.5,55638.5,28517.5
128745,22/1/2023,2023,2023Q1,1,2023-01,East,Massachusetts,Worcester,United States,Accessories,Small Electronics,Phone Case,1,233.96,233.96,78.37,0.33497179,158639.5,44500,28517.5
68412,27/3/2024,2024,2024Q1,3,2024-03,South,Texas,Houston,United States,Clothing & Apparel,Kids Wear,Children's Hoodie,1,459.96,459.96,154.92,0.336811897,131968.5,162643.5,181033
72465,18/11/2024,2024,2024Q4,11,2024-11,Centre,Wisconsin,Madison,United States,Clothing & Apparel,Men's Wear,GAP Hoodie,1,273.72,273.72,122.13,0.446185883,162784,127468,137264
89987,31/12/2023,2023,2023Q4,12,2023-12,Centre,Wisconsin,Milwaukee,United States,Home & Furniture,Storage,Closet Organizer,1,787.17,787.17,99.41,0.126287841,68763.5,93658,137264
160068,23/12/2023,2023,2023Q4,12,2023-12,West,Utah,Salt Lake City,United States,Home & Furniture,Home Decor,Throw Pillows,1,711.28,711.28,159.88,0.224777865,57366,113773.5,84748.5
101073,11/10/2024,2024,2024Q4,10,2024-10,Centre,Minnesota,St. Paul,United States,Electronics,Home Appliances,KitchenAid Mixer,1,512.5,512.5,100.24,0.195590244,35782.5,117576.5,137264
106474,28/11/2024,2024,2024Q4,11,2024-11,Centre,Wisconsin,Madison,United States,Home & Furniture,Home Decor,Vase,2,635.06,1270.12,375.88,0.295940541,140752.5,127468,137264
9198,17/2/2023,2023,2023Q1,2,2023-02,Centre,Michigan,Grand Rapids,United States,Clothing & Apparel,Kids Wear,Carter's Onesie,1,219.32,219.32,58.67,0.267508663,90337,115722,137264
21615,27/10/2023,2023,2023Q4,10,2023-10,East,Connecticut,New Haven,United States,Electronics,Smartphones,Apple iPhone 14,1,852.83,852.83,159.72,0.187282342,25855.5,27444.5,28517.5
112235,25/10/2023,2023,2023Q4,10,2023-10,West,Oregon,Portland,United States,Electronics,Home Appliances,Instant Pot,3,239.38,718.14,122.35,0.17037068,9852,153119,84748.5
98626,11/11/2024,2024,2024Q4,11,2024-11,Centre,Michigan,Detroit,United States,Clothing & Apparel,Men's Wear,GAP Hoodie,1,94.64,94.64,39.98,0.422442942,162784,83945,137264
129879,28/1/2023,2023,2023Q1,1,2023-01,West,Utah,Provo,United States,Accessories,Bags,Wallet,1,139.65,139.65,37.74,0.270247046,182105,95625,84748.5
66177,16/8/2024,2024,2024Q3,8,2024-08,Centre,Wisconsin,Madison,United States,Home & Furniture,Bedding,Tempur-Pedic Mattress,1,624.29,624.29,158.43,0.25377629,2762,127468,137264
10076,20/4/2023,2023,2023Q2,4,2023-04,Centre,Ohio,Columbus,United States,Home & Furniture,Furniture,Office Chair,3,606.75,1820.25,510.69,0.280560363,106756.5,75897,137264
145013,26/4/2023,2023,2023Q2,4,2023-04,Centre,Ohio,Columbus,United States,Home & Furniture,Bedding,Brooklinen Sheets,1,770.5,770.5,241.39,0.313290071,46501.5,75897,137264
54403,23/3/2024,2024,2024Q1,3,2024-03,South,Tennessee,Knoxville,United States,Clothing & Apparel,Kids Wear,Children's Hoodie,3,193.3,579.9,220.67,0.380531126,131968.5,193117.5,181033
112813,12/6/2023,2023,2023Q2,6,2023-06,Centre,North Dakota,Fargo,United States,Clothing & Apparel,Sportswear,Nike Air Force 1,1,312.07,312.07,122.1,0.391258372,63037.5,58037.5,137264
2816,25/3/2024,2024,2024Q1,3,2024-03,East,Massachusetts,Worcester,United States,Electronics,Home Appliances,KitchenAid Mixer,1,902.69,902.69,79.43,0.087992556,35782.5,44500,28517.5
41260,24/12/2023,2023,2023Q4,12,2023-12,East,Vermont,Montpelier,United States,Clothing & Apparel,Women's Wear,Old Navy Dress,1,284.8,284.8,113.25,0.397647472,80407,50094,28517.5
189058,19/7/2023,2023,2023Q3,7,2023-07,Centre,North Dakota,Fargo,United States,Clothing & Apparel,Women's Wear,Old Navy Dress,1,127.12,127.12,39.38,0.309786029,80407,58037.5,137264
188902,2/7/2023,2023,2023Q3,7,2023-07,South,West Virginia,Huntington,United States,Accessories,Wearable Accessories,Sunglasses,1,149.45,149.45,33.91,0.226898628,167173.5,171519,181033
167030,4/3/2023,2023,2023Q1,3,2023-03,Centre,Kansas,Topeka,United States,Accessories,Wearable Accessories,Watch Strap,1,243.24,243.24,75.65,0.311009702,192281.5,72032,137264
134553,12/11/2024,2024,2024Q4,11,2024-11,East,New Hampshire,Nashua,United States,Electronics,TVs & Audio,Bose Soundbar,1,869.35,869.35,117.82,0.135526543,123082.5,52857.5,28517.5
92597,12/11/2023,2023,2023Q4,11,2023-11,East,Connecticut,New Haven,United States,Home & Furniture,Storage,Closet Organizer,1,607.23,607.23,83.81,0.13802019,68763.5,27444.5,28517.5
178490,3/6/2024,2024,2024Q2,6,2024-06,East,New Hampshire,Nashua,United States,Accessories,Small Electronics,Charging Cable,3,221.7,665.1,220.36,0.331318599,178054,52857.5,28517.5
190727,6/2/2023,2023,2023Q1,2,2023-02,Centre,Minnesota,St. Paul,United States,Home & Furniture,Bedding,Brooklinen Sheets,2,222.14,444.28,68.4,0.153956964,46501.5,117576.5,137264
28291,5/10/2024,2024,2024Q4,10,2024-10,South,Florida,Jacksonville,United States,Home & Furniture,Storage,Storage Rack,1,490.06,490.06,133.37,0.272150349,41324,185665.5,181033
100164,6/10/2024,2024,2024Q4,10,2024-10,Centre,Nebraska,Lincoln,United States,Electronics,Smartphones,Samsung Galaxy S23,2,669.66,1339.32,264.52,0.197503211,50508,85878.5,137264
112904,14/5/2024,2024,2024Q2,5,2024-05,West,Nevada,Las Vegas,United States,Electronics,Tablets,iPad Pro,2,636.8,1273.6,178.3,0.139996859,30384,65950.5,84748.5
180473,20/6/2023,2023,2023Q2,6,2023-06,West,Utah,Provo,United States,Home & Furniture,Bedding,Brooklinen Sheets,1,228.96,228.96,67.95,0.29677673,46501.5,95625,84748.5
170637,8/11/2024,2024,2024Q4,11,2024-11,West,California,San Jose,United States,Home & Furniture,Furniture,IKEA Sofa,2,640.21,1280.42,265.49,0.207346027,53722,159093,84748.5
88987,16/11/2024,2024,2024Q4,11,2024-11,East,Massachusetts,Worcester,United States,Electronics,TVs & Audio,Bose Soundbar,2,322.21,644.42,101.67,0.157769777,123082.5,44500,28517.5
146322,19/6/2024,2024,2024Q2,6,2024-06,South,Tennessee,Knoxville,United States,Clothing & Apparel,Sportswear,Nike Air Force 1,5,261.91,1309.55,437.69,0.334229315,63037.5,193117.5,181033
137860,4/6/2023,2023,2023Q2,6,2023-06,East,New York,Rochester,United States,Clothing & Apparel,Women's Wear,Zara Blouse,1,393.08,393.08,135.07,0.343619619,110934.5,7285,28517.5
143391,13/8/2023,2023,2023Q3,8,2023-08,South,Florida,Jacksonville,United States,Home & Furniture,Bedding,Tempur-Pedic Mattress,3,1012.92,3038.76,1060.16,0.348879148,2762,185665.5,181033
171679,1/7/2024,2024,2024Q3,7,2024-07,West,Montana,Billings,United States,Accessories,Wearable Accessories,Belt,1,139.17,139.17,35.08,0.252065819,195686.5,68055,84748.5
164775,22/8/2024,2024,2024Q3,8,2024-08,East,New Hampshire,Manchester,United States,Home & Furniture,Storage,Storage Rack,1,329.12,329.12,104.88,0.318667963,41324,4376.5,28517.5
171403,7/12/2023,2023,2023Q4,12,2023-12,South,Virginia,Virginia Beach,United States,Accessories,Small Electronics,Power Bank,1,225.19,225.19,57.59,0.255739598,188715.5,199484,181033
182092,13/7/2024,2024,2024Q3,7,2024-07,West,Idaho,Boise,United States,Electronics,Home Appliances,Instant Pot,2,491.3,982.6,176.33,0.179452473,9852,125491,84748.5
31930,9/9/2024,2024,2024Q3,9,2024-09,South,Alabama,Montgomery,United States,Clothing & Apparel,Footwear,Nike Running Shoes,2,417.22,834.44,334.24,0.400556062,102666.5,183509,181033
78447,30/11/2024,2024,2024Q4,11,2024-11,East,New Jersey,Jersey City,United States,Home & Furniture,Storage,Storage Rack,4,291.06,1164.24,389.81,0.334819281,41324,15965,28517.5
145115,2/12/2023,2023,2023Q4,12,2023-12,East,New Jersey,Jersey City,United States,Electronics,Laptops,MacBook Air,1,1253.57,1253.57,107.7,0.085914628,16143.5,15965,28517.5
96762,24/6/2024,2024,2024Q2,6,2024-06,Centre,Ohio,Columbus,United States,Electronics,Wearables,Apple Watch,2,527.9,1055.8,173.38,0.164216708,21072,75897,137264
153368,9/11/2024,2024,2024Q4,11,2024-11,South,Tennessee,Knoxville,United States,Home & Furniture,Furniture,IKEA Sofa,3,263.11,789.33,138.8,0.175845337,53722,193117.5,181033
69029,20/12/2024,2024,2024Q4,12,2024-12,South,Tennessee,Knoxville,United States,Electronics,Laptops,MacBook Air,1,481.91,481.91,44.62,0.092589903,16143.5,193117.5,181033
6683,15/11/2024,2024,2024Q4,11,2024-11,West,Utah,Salt Lake City,United States,Electronics,Laptops,Dell XPS 13,3,716.09,2148.27,303.48,0.141267159,72363,113773.5,84748.5
80570,29/8/2023,2023,2023Q3,8,2023-08,Centre,Iowa,Des Moines,United States,Home & Furniture,Storage,Storage Rack,4,715.46,2861.84,813.13,0.284128393,41324,123517.5,137264
146280,22/10/2024,2024,2024Q4,10,2024-10,East,Connecticut,Hartford,United States,Home & Furniture,Storage,Storage Rack,1,304.33,304.33,98.31,0.323037492,41324,30307.5,28517.5
9571,27/10/2023,2023,2023Q4,10,2023-10,South,Florida,Jacksonville,United States,Clothing & Apparel,Women's Wear,Old Navy Dress,1,169.74,169.74,55.41,0.326440438,80407,185665.5,181033
138795,28/10/2023,2023,2023Q4,10,2023-10,West,Arizona,Glendale,United States,Electronics,Laptops,MacBook Air,2,603.11,1206.22,179.7,0.148977798,16143.5,81913.5,84748.5
107075,7/12/2023,2023,2023Q4,12,2023-12,Centre,North Dakota,Bismarck,United States,Home & Furniture,Home Decor,Throw Pillows,2,744.03,1488.06,413.63,0.277965942,57366,97617.5,137264
33645,17/1/2024,2024,2024Q1,1,2024-01,West,Wyoming,Cheyenne,United States,Home & Furniture,Home Decor,Wall Art,2,552.22,1104.44,381.66,0.345568795,98288.5,101797,84748.5
123496,11/3/2023,2023,2023Q1,3,2023-03,West,New Mexico,Santa Fe,United States,Electronics,Home Appliances,Instant Pot,2,227.77,455.54,40.73,0.08941037,9852,161071.5,84748.5
174673,5/10/2024,2024,2024Q4,10,2024-10,West,Arizona,Mesa,United States,Home & Furniture,Furniture,Dining Table Set,3,304.48,913.44,210.5,0.230447539,155281.5,155151.5,84748.5
70580,25/10/2024,2024,2024Q4,10,2024-10,West,California,San Jose,United States,Clothing & Apparel,Kids Wear,Carter's Onesie,5,304.13,1520.65,479.94,0.315615033,90337,159093,84748.5
179456,3/6/2023,2023,2023Q2,6,2023-06,Centre,North Dakota,Bismarck,United States,Electronics,Tablets,Samsung Galaxy Tab,1,694.07,694.07,88.88,0.128056248,85305.5,97617.5,137264
2676,29/10/2023,2023,2023Q4,10,2023-10,East,New Jersey,Jersey City,United States,Electronics,Wearables,Fitbit Charge,2,928.33,1856.66,164.42,0.088556871,115053.5,15965,28517.5
3746,21/5/2024,2024,2024Q2,5,2024-05,Centre,Indiana,Indianapolis,United States,Home & Furniture,Bedding,Tempur-Pedic Mattress,2,1041.74,2083.48,407.42,0.195547833,2762,137309,137264
126839,5/7/2023,2023,2023Q3,7,2023-07,West,Utah,Provo,United States,Home & Furniture,Storage,Closet Organizer,1,470.37,470.37,116.19,0.247018305,68763.5,95625,84748.5
185302,13/12/2023,2023,2023Q4,12,2023-12,Centre,Missouri,Kansas City,United States,Electronics,TVs & Audio,Sony Bravia TV,1,192.33,192.33,33.49,0.174127801,75436,87787,137264
33839,20/9/2023,2023,2023Q3,9,2023-09,South,Alabama,Birmingham,United States,Electronics,Laptops,Lenovo ThinkPad,2,957.96,1915.92,212.75,0.111043259,149223,178129,181033
52781,29/10/2023,2023,2023Q4,10,2023-10,West,Nevada,Reno,United States,Accessories,Bags,Tote Bag,1,110.76,110.76,51.86,0.468219574,198615,133351.5,84748.5
161294,30/10/2023,2023,2023Q4,10,2023-10,Centre,Minnesota,St. Paul,United States,Clothing & Apparel,Sportswear,Nike Air Force 1,4,343.1,1372.4,561.19,0.408911396,63037.5,117576.5,137264
121245,28/10/2024,2024,2024Q4,10,2024-10,East,New York,Rochester,United States,Electronics,Laptops,MacBook Air,1,716.25,716.25,89.09,0.124383944,16143.5,7285,28517.5
43737,26/7/2023,2023,2023Q3,7,2023-07,East,Massachusetts,Worcester,United States,Accessories,Wearable Accessories,Belt,3,194.42,583.26,242.79,0.416263759,195686.5,44500,28517.5
141313,26/12/2024,2024,2024Q4,12,2024-12,Centre,Nebraska,Omaha,United States,Home & Furniture,Kitchenware,Instant Pot,1,93.71,93.71,12.86,0.137231886,9852,111797.5,137264
122530,28/11/2023,2023,2023Q4,11,2023-11,East,Massachusetts,Boston,United States,Clothing & Apparel,Women's Wear,Old Navy Dress,1,254.18,254.18,99.67,0.392123692,80407,18856.5,28517.5
147697,18/4/2023,2023,2023Q2,4,2023-04,East,Delaware,Dover,United States,Accessories,Wearable Accessories,Belt,1,224.31,224.31,74.76,0.333288752,195686.5,41726,28517.5
129029,29/10/2023,2023,2023Q4,10,2023-10,East,New Jersey,Jersey City,United States,Accessories,Bags,Wallet,3,203.9,611.7,220.75,0.360879516,182105,15965,28517.5
24357,27/1/2024,2024,2024Q1,1,2024-01,Centre,Ohio,Cincinnati,United States,Electronics,Tablets,iPad Pro,1,295.88,295.88,32.96,0.111396512,30384,77815,137264
159378,10/7/2024,2024,2024Q3,7,2024-07,West,Idaho,Boise,United States,Accessories,Small Electronics,Charging Cable,3,51.52,154.56,60.99,0.394604037,178054,125491,84748.5
142052,21/7/2023,2023,2023Q3,7,2023-07,South,Mississippi,Gulfport,United States,Clothing & Apparel,Men's Wear,Under Armour T-Shirt,1,312.47,312.47,101.33,0.324287132,144179,182421,181033
56900,15/6/2023,2023,2023Q2,6,2023-06,Centre,Kansas,Wichita,United States,Electronics,Laptops,Dell XPS 13,1,765.22,765.22,63.1,0.082459946,72363,63929,137264
11674,7/5/2024,2024,2024Q2,5,2024-05,West,New Mexico,Albuquerque,United States,Accessories,Wearable Accessories,Sunglasses,2,175.68,351.36,153.2,0.436020036,167173.5,147045,84748.5
14543,25/5/2024,2024,2024Q2,5,2024-05,West,Arizona,Mesa,United States,Clothing & Apparel,Footwear,Crocs,2,162.75,325.5,108.99,0.33483871,152219,155151.5,84748.5
44128,21/10/2024,2024,2024Q4,10,2024-10,South,Tennessee,Knoxville,United States,Clothing & Apparel,Footwear,Timberland Boots,2,248.93,497.86,99.86,0.200578476,185611.5,193117.5,181033
33363,16/10/2024,2024,2024Q4,10,2024-10,West,Arizona,Mesa,United States,Accessories,Small Electronics,Phone Case,2,169.4,338.8,101.87,0.300678867,158639.5,155151.5,84748.5
85451,19/11/2023,2023,2023Q4,11,2023-11,West,Nevada,Las Vegas,United States,Home & Furniture,Home Decor,Throw Pillows,4,408.91,1635.64,271.71,0.166118461,57366,65950.5,84748.5
172703,26/7/2023,2023,2023Q3,7,2023-07,West,California,San Francisco,United States,Clothing & Apparel,Kids Wear,Children's Hoodie,1,220.38,220.38,80.45,0.365051275,131968.5,107867.5,84748.5
12409,30/9/2024,2024,2024Q3,9,2024-09,West,Washington,Seattle,United States,Accessories,Bags,Wallet,2,64.43,128.86,58.26,0.452118578,182105,105761,84748.5
182954,28/10/2024,2024,2024Q4,10,2024-10,Centre,Illinois,Aurora,United States,Electronics,Laptops,MacBook Air,1,484.58,484.58,91.28,0.18836931,16143.5,89694,137264
107682,29/12/2023,2023,2023Q4,12,2023-12,Centre,Indiana,Fort Wayne,United States,Home & Furniture,Kitchenware,Cookware Set,1,287.03,287.03,81.78,0.284917953,135947.5,143071,137264
152039,5/2/2023,2023,2023Q1,2,2023-02,South,Kentucky,Lexington,United States,Accessories,Wearable Accessories,Sunglasses,1,238.76,238.76,58.48,0.244932149,167173.5,174826.5,181033
192056,20/10/2024,2024,2024Q4,10,2024-10,Centre,Missouri,St. Louis,United States,Accessories,Wearable Accessories,Belt,1,202.28,202.28,48.8,0.241249753,195686.5,103790,137264
169962,30/11/2023,2023,2023Q4,11,2023-11,East,Maine,Augusta,United States,Home & Furniture,Kitchenware,Cookware Set,1,492.48,492.48,123.19,0.250142138,135947.5,55638.5,28517.5
113761,22/11/2024,2024,2024Q4,11,2024-11,South,Alabama,Huntsville,United States,Clothing & Apparel,Sportswear,Nike Air Force 1,1,270.56,270.56,86.9,0.321185689,63037.5,186738.5,181033
