user_id,date_time,search_date,search_year,search_month,search_month_name,search_quarter,search_year_quarter,search_year_month,search_year_week,search_day_of_week,search_hour,srch_ci,srch_co,lead_time_days,lead_time_category,stay_duration,party_size,channel,channel_conversion_rate,is_mobile,device_type,is_package,package_type,site_name,user_location_country,user_location_region,user_location_city,posa_continent,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,destination_conversion_rate,destination_searches,srch_destination_type_id,orig_destination_distance,hotel_continent,hotel_country,hotel_market,hotel_cluster,is_booking,booking_status,cnt
397916,2013-03-28 14:21:00,2013-03-28,2013,3,March,1,2013-Q1,2013-03,2013-W13,Thursday,14,2013-04-18,2013-04-21,20.0,Short Term (8-30 days),3.0,3,0,7.19,0,Desktop,0,Non-Package,2,66,288,11997,3,2,1,1,8267,5.99,2739,1,1102.1542,2,50,675,41,0,Search Only,2
187265,2013-03-30 08:21:00,2013-03-30,2013,3,March,1,2013-Q1,2013-03,2013-W13,Saturday,8,2013-04-02,2013-04-03,2.0,Last Minute (0-7 days),1.0,1,9,8.54,0,Desktop,0,Non-Package,2,154,535,35261,3,1,0,1,205,0.0,1,3,1131.8353,4,119,2060,58,0,Search Only,5
689508,2013-03-30 13:15:00,2013-03-30,2013,3,March,1,2013-Q1,2013-03,2013-W13,Saturday,13,2013-06-15,2013-06-20,76.0,Medium Term (31-90 days),5.0,3,2,6.05,0,Desktop,0,Non-Package,37,69,761,41949,1,2,1,1,8802,7.25,69,1,1131.8353,2,50,503,90,0,Search Only,3
580221,2013-04-11 09:42:00,2013-04-11,2013,4,April,2,2013-Q2,2013-04,2013-W15,Thursday,9,2013-07-26,2013-07-28,105.0,Long Term (>90 days),2.0,2,9,8.54,0,Desktop,1,Package,2,66,337,44102,3,2,0,1,12257,4.3,279,6,1610.8993,4,51,1509,0,0,Search Only,1
7022,2013-04-17 15:07:00,2013-04-17,2013,4,April,2,2013-Q2,2013-04,2013-W16,Wednesday,15,2013-04-19,2013-04-20,1.0,Last Minute (0-7 days),1.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,462,49272,3,2,0,1,26414,7.81,192,6,120.5721,2,198,399,89,0,Search Only,1
614250,2013-04-18 20:46:00,2013-04-18,2013,4,April,2,2013-Q2,2013-04,2013-W16,Thursday,20,2013-05-01,2013-05-02,12.0,Short Term (8-30 days),1.0,3,9,8.54,1,Mobile,0,Non-Package,2,66,462,49272,3,3,0,3,12184,17.86,28,6,2487.5024,2,50,690,25,0,Search Only,1
652942,2013-04-19 08:07:00,2013-04-19,2013,4,April,2,2013-Q2,2013-04,2013-W16,Friday,8,2013-04-27,2013-04-28,7.0,Last Minute (0-7 days),1.0,4,9,8.54,0,Desktop,0,Non-Package,2,66,311,30031,3,4,0,2,28649,0.0,3,6,64.9869,2,50,691,82,0,Search Only,1
488079,2013-04-22 04:45:00,2013-04-22,2013,4,April,2,2013-Q2,2013-04,2013-W17,Monday,4,2013-04-28,2013-04-30,5.0,Last Minute (0-7 days),2.0,3,1,6.97,0,Desktop,0,Non-Package,24,3,50,13871,2,2,1,1,8242,5.76,660,1,1131.8353,3,171,61,6,0,Search Only,1
1189203,2013-04-28 17:49:00,2013-04-28,2013,4,April,2,2013-Q2,2013-04,2013-W17,Sunday,17,2013-06-11,2013-06-17,43.0,Medium Term (31-90 days),6.0,2,0,7.19,0,Desktop,0,Non-Package,2,66,340,52984,3,2,0,1,24789,0.0,3,6,1967.5457,2,50,498,7,0,Search Only,2
1095231,2013-04-29 18:39:00,2013-04-29,2013,4,April,2,2013-Q2,2013-04,2013-W18,Monday,18,2013-12-05,2013-12-11,219.0,Long Term (>90 days),6.0,2,9,8.54,0,Desktop,1,Package,2,66,189,2871,3,2,0,1,8745,5.4,1296,1,3517.5827,6,204,27,64,0,Search Only,9
179771,2013-04-30 16:15:00,2013-04-30,2013,4,April,2,2013-Q2,2013-04,2013-W18,Tuesday,16,2013-07-10,2013-07-13,70.0,Medium Term (31-90 days),3.0,2,9,8.54,0,Desktop,1,Package,2,66,226,42300,3,2,0,1,8791,3.73,1691,1,887.1723,4,8,110,89,0,Search Only,1
571065,2013-05-02 12:02:00,2013-05-02,2013,5,May,2,2013-Q2,2013-05,2013-W18,Thursday,12,2013-06-14,2013-06-16,42.0,Medium Term (31-90 days),2.0,2,2,6.05,0,Desktop,0,Non-Package,2,66,174,50,3,2,0,1,6045,0.0,3,3,140.2742,2,50,365,97,0,Search Only,1
249042,2013-05-19 16:05:00,2013-05-19,2013,5,May,2,2013-Q2,2013-05,2013-W20,Sunday,16,2014-01-03,2014-01-08,228.0,Long Term (>90 days),5.0,3,9,8.54,0,Desktop,1,Package,13,46,244,33092,1,3,0,1,7635,4.76,714,3,1131.8353,2,50,675,98,0,Search Only,7
526007,2013-05-25 15:11:00,2013-05-25,2013,5,May,2,2013-Q2,2013-05,2013-W21,Saturday,15,2013-08-06,2013-08-08,72.0,Medium Term (31-90 days),2.0,4,9,8.54,0,Desktop,0,Non-Package,2,66,363,12487,3,2,2,1,12233,5.68,405,6,1131.8353,2,50,675,98,0,Search Only,1
350887,2013-05-26 03:12:00,2013-05-26,2013,5,May,2,2013-Q2,2013-05,2013-W21,Sunday,3,2013-08-02,2013-08-17,67.0,Medium Term (31-90 days),15.0,2,1,6.97,0,Desktop,1,Package,2,46,244,33092,3,1,1,1,13626,0.0,8,4,1131.8353,2,50,1241,41,0,Search Only,8
1060042,2013-06-02 14:08:00,2013-06-02,2013,6,June,2,2013-Q2,2013-06,2013-W22,Sunday,14,2013-06-18,2013-06-19,15.0,Short Term (8-30 days),1.0,5,9,8.54,0,Desktop,0,Non-Package,2,66,174,40789,3,2,3,1,25325,22.22,9,6,2288.9494,2,50,728,91,0,Search Only,1
794356,2013-06-03 17:00:00,2013-06-03,2013,6,June,2,2013-Q2,2013-06,2013-W23,Monday,17,2013-08-19,2013-08-25,76.0,Medium Term (31-90 days),6.0,1,9,8.54,0,Desktop,0,Non-Package,2,66,189,5113,3,1,0,1,12228,4.9,143,6,1243.2022,2,50,411,10,0,Search Only,1
1131126,2013-06-06 17:40:00,2013-06-06,2013,6,June,2,2013-Q2,2013-06,2013-W23,Thursday,17,2013-06-18,2013-06-19,11.0,Short Term (8-30 days),1.0,3,7,4.32,0,Desktop,0,Non-Package,2,66,220,2086,3,2,1,1,29924,0.0,3,4,2339.1024,2,50,365,6,0,Search Only,1
12515,2013-06-09 18:02:00,2013-06-09,2013,6,June,2,2013-Q2,2013-06,2013-W23,Sunday,18,2014-03-01,2014-03-02,264.0,Long Term (>90 days),1.0,2,2,6.05,0,Desktop,0,Non-Package,2,82,862,48871,3,1,1,1,40862,10.0,30,4,1131.8353,2,50,701,51,0,Search Only,2
1016046,2013-06-14 18:06:00,2013-06-14,2013,6,June,2,2013-Q2,2013-06,2013-W24,Friday,18,2013-06-20,2013-06-22,5.0,Last Minute (0-7 days),2.0,1,0,7.19,1,Mobile,1,Package,2,66,348,52091,3,1,0,1,8224,10.79,139,1,3646.9522,6,135,278,2,0,Search Only,1
572659,2013-06-18 12:29:00,2013-06-18,2013,6,June,2,2013-Q2,2013-06,2013-W25,Tuesday,12,2013-06-21,2013-06-23,2.0,Last Minute (0-7 days),2.0,2,0,7.19,0,Desktop,0,Non-Package,2,66,174,11875,3,2,0,1,17869,9.52,21,4,1131.8353,2,50,366,39,0,Search Only,2
804556,2013-06-20 11:58:00,2013-06-20,2013,6,June,2,2013-Q2,2013-06,2013-W25,Thursday,11,2013-07-01,2013-07-05,10.0,Short Term (8-30 days),4.0,2,9,8.54,0,Desktop,1,Package,2,66,149,53020,3,2,0,1,8267,5.99,2739,1,1049.7305,2,50,675,41,0,Search Only,1
236780,2013-06-20 18:00:00,2013-06-20,2013,6,June,2,2013-Q2,2013-06,2013-W25,Thursday,18,2013-08-21,2013-08-23,61.0,Medium Term (31-90 days),2.0,2,1,6.97,0,Desktop,0,Non-Package,2,66,348,48862,3,2,0,1,8250,6.92,3568,1,2233.3456,2,50,628,24,0,Search Only,1
565125,2013-06-24 06:33:00,2013-06-24,2013,6,June,2,2013-Q2,2013-06,2013-W26,Monday,6,2013-07-03,2013-07-08,8.0,Short Term (8-30 days),5.0,2,9,8.54,0,Desktop,1,Package,2,80,41,37868,3,2,0,1,8791,3.73,1691,1,1131.8353,4,8,110,65,0,Search Only,1
202662,2013-06-24 06:40:00,2013-06-24,2013,6,June,2,2013-Q2,2013-06,2013-W26,Monday,6,2013-09-17,2013-09-22,84.0,Medium Term (31-90 days),5.0,2,9,8.54,0,Desktop,0,Non-Package,2,148,470,32789,3,2,0,1,8253,4.96,1310,1,1131.8353,6,70,19,76,0,Search Only,1
585608,2013-06-24 13:38:00,2013-06-24,2013,6,June,2,2013-Q2,2013-06,2013-W26,Monday,13,2013-07-17,2013-07-18,22.0,Short Term (8-30 days),1.0,1,9,8.54,0,Desktop,0,Non-Package,2,66,331,36172,3,1,0,1,29440,25.0,4,4,498.2349,2,50,638,6,1,Booked,1
1139653,2013-06-24 22:12:00,2013-06-24,2013,6,June,2,2013-Q2,2013-06,2013-W26,Monday,22,2013-06-27,2013-07-03,2.0,Last Minute (0-7 days),6.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,174,24103,3,2,0,1,8745,5.4,1296,1,5651.7753,6,204,27,50,0,Search Only,2
163634,2013-06-28 15:15:00,2013-06-28,2013,6,June,2,2013-Q2,2013-06,2013-W26,Friday,15,2013-08-17,2013-08-19,49.0,Medium Term (31-90 days),2.0,2,1,6.97,0,Desktop,0,Non-Package,2,66,174,47287,3,2,0,1,12269,7.64,157,6,374.3714,2,50,1230,19,0,Search Only,1
824699,2013-06-28 19:21:00,2013-06-28,2013,6,June,2,2013-Q2,2013-06,2013-W26,Friday,19,2013-06-30,2013-07-01,1.0,Last Minute (0-7 days),1.0,3,0,7.19,1,Mobile,0,Non-Package,11,205,354,25315,3,2,1,1,25999,0.0,11,1,62.0529,2,198,954,91,0,Search Only,1
1089002,2013-06-29 15:55:00,2013-06-29,2013,6,June,2,2013-Q2,2013-06,2013-W26,Saturday,15,2013-10-19,2013-10-21,111.0,Long Term (>90 days),2.0,3,9,8.54,1,Mobile,0,Non-Package,2,214,120,44613,3,2,1,1,468,6.0,617,1,1131.8353,3,48,153,97,0,Search Only,1
512464,2013-06-30 10:58:00,2013-06-30,2013,6,June,2,2013-Q2,2013-06,2013-W26,Sunday,10,2013-07-14,2013-07-20,13.0,Short Term (8-30 days),6.0,1,0,7.19,0,Desktop,1,Package,2,66,356,38434,3,1,0,1,25169,0.0,7,6,2476.8853,2,50,674,10,0,Search Only,1
612205,2013-07-02 12:49:00,2013-07-02,2013,7,July,3,2013-Q3,2013-07,2013-W27,Tuesday,12,2013-07-15,2013-07-19,12.0,Short Term (8-30 days),4.0,3,0,7.19,1,Mobile,0,Non-Package,2,66,348,18487,3,2,1,1,8268,4.61,1409,1,975.8641,2,50,682,71,0,Search Only,1
88598,2013-07-02 17:58:00,2013-07-02,2013,7,July,3,2013-Q3,2013-07,2013-W27,Tuesday,17,2014-03-24,2014-03-28,264.0,Long Term (>90 days),4.0,0,9,8.54,1,Mobile,1,Package,2,66,315,10061,3,0,0,1,8253,4.96,1310,1,3164.7009,6,70,19,56,0,Search Only,1
149982,2013-07-13 17:08:00,2013-07-13,2013,7,July,3,2013-Q3,2013-07,2013-W28,Saturday,17,2013-08-12,2013-08-15,29.0,Short Term (8-30 days),3.0,3,9,8.54,0,Desktop,0,Non-Package,2,66,174,41886,3,2,1,1,12184,17.86,28,6,2550.7183,2,50,690,98,0,Search Only,1
627011,2013-07-23 22:18:00,2013-07-23,2013,7,July,3,2013-Q3,2013-07,2013-W30,Tuesday,22,2013-08-13,2013-08-14,20.0,Short Term (8-30 days),1.0,4,2,6.05,0,Desktop,0,Non-Package,2,66,442,46296,3,2,2,1,5252,25.0,4,3,265.6143,2,50,406,91,0,Search Only,1
852295,2013-07-29 07:45:00,2013-07-29,2013,7,July,3,2013-Q3,2013-07,2013-W31,Monday,7,2013-07-30,2013-08-01,0.0,Last Minute (0-7 days),2.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,174,16631,3,1,1,1,12291,40.0,5,5,1131.8353,2,50,623,47,1,Booked,1
568818,2013-07-30 10:25:00,2013-07-30,2013,7,July,3,2013-Q3,2013-07,2013-W31,Tuesday,10,2013-09-28,2013-10-02,59.0,Medium Term (31-90 days),4.0,4,9,8.54,1,Mobile,0,Non-Package,2,66,348,48862,3,2,2,1,11373,5.88,272,1,1100.8328,4,128,1455,96,0,Search Only,4
399316,2013-07-30 19:09:00,2013-07-30,2013,7,July,3,2013-Q3,2013-07,2013-W31,Tuesday,19,2014-02-12,2014-02-16,196.0,Long Term (>90 days),4.0,2,9,8.54,0,Desktop,1,Package,37,69,772,2058,1,2,0,1,12576,7.53,93,5,1131.8353,2,50,675,56,0,Search Only,1
701911,2013-07-31 09:01:00,2013-07-31,2013,7,July,3,2013-Q3,2013-07,2013-W31,Wednesday,9,2013-08-02,2013-08-03,1.0,Last Minute (0-7 days),1.0,3,2,6.05,0,Desktop,0,Non-Package,11,205,135,36086,3,2,1,1,7992,0.0,1,3,1873.5623,2,198,384,51,0,Search Only,4
307431,2013-08-04 12:34:00,2013-08-04,2013,8,August,3,2013-Q3,2013-08,2013-W31,Sunday,12,2013-08-08,2013-08-09,3.0,Last Minute (0-7 days),1.0,2,9,8.54,1,Mobile,0,Non-Package,11,205,155,23672,3,2,0,1,23401,8.33,12,6,301.1131,2,50,1179,10,1,Booked,1
940384,2013-08-09 06:32:00,2013-08-09,2013,8,August,3,2013-Q3,2013-08,2013-W32,Friday,6,2013-08-26,2013-08-30,16.0,Short Term (8-30 days),4.0,1,7,4.32,0,Desktop,0,Non-Package,24,3,49,42325,2,1,0,1,8746,5.47,731,1,1131.8353,6,105,29,78,0,Search Only,1
54751,2013-08-13 13:39:00,2013-08-13,2013,8,August,3,2013-Q3,2013-08,2013-W33,Tuesday,13,2013-08-17,2013-08-19,3.0,Last Minute (0-7 days),2.0,2,9,8.54,0,Desktop,1,Package,2,66,448,2882,3,2,0,1,11372,1.94,103,1,1217.8071,4,121,199,92,0,Search Only,1
762103,2013-08-19 14:42:00,2013-08-19,2013,8,August,3,2013-Q3,2013-08,2013-W34,Monday,14,2013-08-24,2013-08-25,4.0,Last Minute (0-7 days),1.0,2,0,7.19,0,Desktop,0,Non-Package,37,69,761,41949,1,2,0,1,18477,0.0,1,1,1131.8353,6,70,1912,86,0,Search Only,1
297424,2013-08-21 18:06:00,2013-08-21,2013,8,August,3,2013-Q3,2013-08,2013-W34,Wednesday,18,2013-09-03,2013-09-05,12.0,Short Term (8-30 days),2.0,1,0,7.19,0,Desktop,1,Package,2,66,331,37133,3,1,0,1,8254,6.56,793,1,2028.2951,2,50,365,49,1,Booked,1
130301,2013-08-26 21:43:00,2013-08-26,2013,8,August,3,2013-Q3,2013-08,2013-W35,Monday,21,2013-08-27,2013-09-01,0.0,Last Minute (0-7 days),5.0,2,9,8.54,0,Desktop,0,Non-Package,34,205,354,21728,3,2,0,1,24919,4.26,47,6,338.0369,2,50,676,21,0,Search Only,1
312311,2013-08-27 14:04:00,2013-08-27,2013,8,August,3,2013-Q3,2013-08,2013-W35,Tuesday,14,2014-02-03,2014-02-05,159.0,Long Term (>90 days),2.0,5,0,7.19,0,Desktop,0,Non-Package,11,205,135,36086,3,4,1,1,12226,4.76,42,6,2496.9682,2,50,701,91,0,Search Only,1
22203,2013-09-01 16:00:00,2013-09-01,2013,9,September,3,2013-Q3,2013-09,2013-W35,Sunday,16,2014-01-11,2014-01-13,131.0,Long Term (>90 days),2.0,2,1,6.97,0,Desktop,1,Package,24,3,64,12576,2,2,0,1,19945,10.53,19,6,1131.8353,3,99,88,81,0,Search Only,1
1041856,2013-09-03 22:53:00,2013-09-03,2013,9,September,3,2013-Q3,2013-09,2013-W36,Tuesday,22,2013-10-15,2013-10-19,41.0,Medium Term (31-90 days),4.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,174,1112,3,1,1,1,12233,5.68,405,6,2571.4608,2,50,675,70,0,Search Only,1
816327,2013-09-12 18:17:00,2013-09-12,2013,9,September,3,2013-Q3,2013-09,2013-W37,Thursday,18,2013-10-05,2013-10-06,22.0,Short Term (8-30 days),1.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,311,22875,3,2,0,1,8829,6.52,46,1,1131.8353,2,50,693,72,0,Search Only,1
844144,2013-09-15 11:13:00,2013-09-15,2013,9,September,3,2013-Q3,2013-09,2013-W37,Sunday,11,2013-10-31,2013-11-01,45.0,Medium Term (31-90 days),1.0,2,9,8.54,0,Desktop,0,Non-Package,34,205,155,14703,3,2,0,1,1351,0.0,2,3,5431.2285,6,105,1869,82,0,Search Only,1
771881,2013-09-22 20:12:00,2013-09-22,2013,9,September,3,2013-Q3,2013-09,2013-W38,Sunday,20,2013-11-01,2013-11-08,39.0,Medium Term (31-90 days),7.0,2,3,6.04,0,Desktop,1,Package,11,205,354,48951,3,2,0,1,8814,2.06,243,1,1921.4327,4,51,197,0,0,Search Only,2
513614,2013-09-23 18:06:00,2013-09-23,2013,9,September,3,2013-Q3,2013-09,2013-W39,Monday,18,2014-03-06,2014-03-07,163.0,Long Term (>90 days),1.0,4,9,8.54,0,Desktop,1,Package,34,205,354,41495,3,2,2,1,11439,2.01,946,1,1851.1776,4,163,1503,52,0,Search Only,4
252498,2013-10-02 17:26:00,2013-10-02,2013,10,October,4,2013-Q4,2013-10,2013-W40,Wednesday,17,2013-10-04,2013-10-10,1.0,Last Minute (0-7 days),6.0,1,9,8.54,0,Desktop,0,Non-Package,2,133,20,3392,3,1,0,1,8745,5.4,1296,1,1131.8353,6,204,27,11,0,Search Only,1
743946,2013-10-06 18:49:00,2013-10-06,2013,10,October,4,2013-Q4,2013-10,2013-W40,Sunday,18,2014-04-13,2014-04-15,188.0,Long Term (>90 days),2.0,2,0,7.19,0,Desktop,0,Non-Package,2,66,331,38255,3,2,0,1,23116,6.67,30,6,3802.6815,6,70,761,29,0,Search Only,1
500872,2013-10-15 11:44:00,2013-10-15,2013,10,October,4,2013-Q4,2013-10,2013-W42,Tuesday,11,2014-01-11,2014-01-15,87.0,Medium Term (31-90 days),4.0,3,5,9.43,0,Desktop,0,Non-Package,36,115,952,17194,2,2,1,1,12356,7.78,90,5,1131.8353,3,182,46,36,0,Search Only,1
1000700,2013-10-16 03:51:00,2013-10-16,2013,10,October,4,2013-Q4,2013-10,2013-W42,Wednesday,3,2013-11-07,2013-11-08,21.0,Short Term (8-30 days),1.0,2,9,8.54,0,Desktop,0,Non-Package,11,205,354,25315,3,2,0,1,12387,6.67,15,5,60.8183,2,50,447,28,0,Search Only,1
15093,2013-10-30 13:05:00,2013-10-30,2013,10,October,4,2013-Q4,2013-10,2013-W44,Wednesday,13,2013-11-25,2013-12-01,25.0,Short Term (8-30 days),6.0,1,9,8.54,0,Desktop,0,Non-Package,2,66,220,2086,3,1,0,1,12151,0.0,6,1,1074.8887,2,50,737,48,0,Search Only,2
775402,2013-11-14 19:06:00,2013-11-14,2013,11,November,4,2013-Q4,2013-11,2013-W46,Thursday,19,2013-11-16,2013-11-17,1.0,Last Minute (0-7 days),1.0,1,1,6.97,1,Mobile,0,Non-Package,2,66,318,33705,3,1,0,1,27397,100.0,1,6,231.7562,2,50,538,51,1,Booked,1
602792,2013-11-24 15:10:00,2013-11-24,2013,11,November,4,2013-Q4,2013-11,2013-W47,Sunday,15,2014-10-09,2014-10-17,318.0,Long Term (>90 days),8.0,2,9,8.54,0,Desktop,1,Package,2,66,462,52979,3,2,0,1,55649,3.7,54,3,1131.8353,6,77,2,47,0,Search Only,2
799381,2013-11-25 15:11:00,2013-11-25,2013,11,November,4,2013-Q4,2013-11,2013-W48,Monday,15,2013-12-13,2013-12-15,17.0,Short Term (8-30 days),2.0,2,0,7.19,0,Desktop,0,Non-Package,2,66,462,49272,3,2,0,1,12270,9.6,125,6,0.5442,2,50,663,11,0,Search Only,1
630867,2013-12-05 16:04:00,2013-12-05,2013,12,December,4,2013-Q4,2013-12,2013-W49,Thursday,16,2013-12-09,2013-12-12,3.0,Last Minute (0-7 days),3.0,1,9,8.54,0,Desktop,0,Non-Package,2,66,174,26232,3,1,0,1,8279,8.02,1097,1,9.9626,2,50,1230,33,0,Search Only,1
182204,2013-12-18 12:44:00,2013-12-18,2013,12,December,4,2013-Q4,2013-12,2013-W51,Wednesday,12,2013-12-30,2013-12-31,11.0,Short Term (8-30 days),1.0,2,9,8.54,0,Desktop,0,Non-Package,2,66,189,33796,3,2,0,1,8801,14.29,21,1,7.8734,2,50,493,48,0,Search Only,1
919800,2013-12-18 13:40:00,2013-12-18,2013,12,December,4,2013-Q4,2013-12,2013-W51,Wednesday,13,2014-01-17,2014-01-23,29.0,Short Term (8-30 days),6.0,2,7,4.32,0,Desktop,1,Package,2,66,314,4868,3,2,0,1,8268,4.61,1409,1,771.8097,2,50,682,47,0,Search Only,1
307862,2013-12-30 11:28:00,2013-12-30,2013,12,December,4,2013-Q4,2013-12,2013-W01,Monday,11,2014-02-05,2014-02-09,36.0,Medium Term (31-90 days),4.0,2,9,8.54,0,Desktop,1,Package,2,66,189,32046,3,2,0,1,11815,3.02,463,1,1131.8353,3,5,1701,99,0,Search Only,1
842671,2014-01-01 14:55:00,2014-01-01,2014,1,January,1,2014-Q1,2014-01,2014-W01,Wednesday,14,2014-01-31,2014-02-01,29.0,Short Term (8-30 days),1.0,7,9,8.54,0,Desktop,0,Non-Package,26,215,646,51733,0,4,3,2,486,21.74,23,1,981.554,2,50,726,40,0,Search Only,1
394003,2014-01-02 19:47:00,2014-01-02,2014,1,January,1,2014-Q1,2014-01,2014-W01,Thursday,19,2014-01-30,2014-02-01,27.0,Short Term (8-30 days),2.0,1,1,6.97,1,Mobile,1,Package,2,66,311,23166,3,1,0,1,8260,4.45,966,1,1273.2056,2,50,701,5,0,Search Only,1
677579,2014-01-04 21:14:00,2014-01-04,2014,1,January,1,2014-Q1,2014-01,2014-W01,Saturday,21,2014-01-16,2014-01-19,11.0,Short Term (8-30 days),3.0,2,1,6.97,0,Desktop,0,Non-Package,2,66,174,51981,3,2,0,1,8279,8.02,1097,1,13.1111,2,50,1230,95,0,Search Only,1
805534,2014-01-06 15:55:00,2014-01-06,2014,1,January,1,2014-Q1,2014-01,2014-W02,Monday,15,2014-08-02,2014-08-03,207.0,Long Term (>90 days),1.0,4,9,8.54,0,Desktop,0,Non-Package,2,66,337,8851,3,3,1,1,8260,4.45,966,1,1131.8353,2,50,701,72,0,Search Only,1
529808,2014-01-10 07:01:00,2014-01-10,2014,1,January,1,2014-Q1,2014-01,2014-W02,Friday,7,2014-01-20,2014-01-23,9.0,Short Term (8-30 days),3.0,1,9,8.54,0,Desktop,0,Non-Package,37,167,51,11261,1,1,0,1,8282,5.8,517,1,1131.8353,3,126,232,82,1,Booked,1
